Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
9,45764608,4.5,89403392,30,31,29,1052016640,8346394624
8.8,45891584,4,89399296,30,32,29,1052479488,8346394624
7.6,45899776,5.2,89587712,30,32,29,1052483584,8346394624
8.4,45916160,4.9,89661440,31,32,29,1053179904,8346394624
9.1,46100480,4.7,89706496,30,30,30,1054384128,8346394624
8.9,46092288,5,89722880,28,30,27,1055645696,8346394624
8.6,46223360,4.3,89759744,30,30,29,1055043584,8346394624
8.7,46280704,4.6,89800704,29,29,29,1056026624,8346394624
8.6,46284800,4.9,89849856,32,34,30,1057886208,8346394624
11,46522368,5.4,89997312,32,32,31,1058463744,8346394624
11,46522368,5.8,90062848,33,34,32,1059196928,8346394624
